pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,824.7
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,827.35
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,827.36
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,829.13
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,827.36
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,826.94
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,824.7
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,824.7
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,827.35
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,829.13
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,829.13
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,827.36
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,826.94
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,824.7
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,824.7
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,827.35
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,829.13
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,829.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,827.36
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,826.94
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,824.7
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,824.7
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,827.86
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,829.13
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,829.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,829.13
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,827.35
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,824.7
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,824.7
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,827.86
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,829.13
